Date,Close,Volume,Open,High,Low,PorportionalChange,PercentChange,cumChange5Days
05/28/2020,302.97,90767810,304.65,306.84,302.24,0.998155042335189,-0.184495766481052,0.0203414946283655
05/29/2020,304.32,119265700,302.46,304.96,299.47,1.00445588672146,0.445588672145747,0.0320130222463419
06/01/2020,305.55,56779840,303.62,306.205,303.06,1.00404179810726,0.404179810725558,0.0342201462225973
06/02/2020,308.08,74267160,306.55,308.13,305.1,1.00828015054819,0.828015054819176,0.0300922830012136
06/03/2020,312.18,92567570,310.24,313.22,309.94,1.01330823162815,1.33082316281485,0.028498006786815
06/04/2020,311.36,75794360,311.11,313,309.08,0.997373310269716,-0.262668973028379,0.0276925108096577
06/05/2020,319.34,150524700,317.23,321.275,317.16,1.02562949640288,2.56294964028776,0.0493559411146227
06/08/2020,323.2,73641220,320.22,323.41,319.63,1.01208743032505,1.20874303250456,0.0577646866306727
06/09/2020,320.79,77479230,320.3,323.2849,319.36,0.992543316831683,-0.745668316831671,0.0412555180472687
06/10/2020,319,95000770,321.42,322.39,318.2209,0.994420025561894,-0.557997443810598,0.0218463706835865
06/11/2020,300.61,209243600,311.46,312.15,300.01,0.942351097178683,-5.76489028213165,-0.034525950668031
06/12/2020,304.21,194678900,308.24,309.08,298.6,1.01197564951266,1.19756495126575,-0.047378969123812
06/15/2020,307.05,135782700,298.02,308.28,296.74,1.00933565629006,0.933565629006283,-0.0499690594059417
06/16/2020,312.96,137627500,315.48,315.64,307.67,1.01924767953102,1.92476795310208,-0.0244084915365212
06/17/2020,311.66,83398940,314.07,314.39,310.86,0.995846114519428,-0.415388548057249,-0.0230094043887161
06/18/2020,311.78,80828660,310.005,312.3,309.51,1.00038503497401,0.038503497400999,0.0371577791823279
06/19/2020,308.64,135549600,314.17,314.38,306.53,0.989928795945859,-1.00712040541407,0.0145623089313267
06/22/2020,310.62,74649390,307.99,311.05,306.75,1.00641524105754,0.641524105754288,0.0116267708842168
06/23/2020,312.05,68471250,313.49,314.5,311.6101,1.00460369583414,0.460369583413822,-0.00290771983640159
06/24/2020,304.09,132813500,309.84,310.51,302.1,0.974491267425092,-2.55087325749079,-0.0242892896104745
06/25/2020,307.35,89467970,303.47,307.64,301.28,1.01072051037522,1.07205103752179,-0.0142087369298858
06/26/2020,300.05,127961000,306.16,306.39,299.42,0.976248576541402,-2.37514234585977,-0.0278317781233794
06/29/2020,304.46,79773260,301.41,304.61,298.93,1.01469755040827,1.46975504082651,-0.0198313051316643
06/30/2020,308.36,113394800,303.99,310.2,303.82,1.01280956447481,1.28095644748081,-0.0118250280403699
07/01/2020,310.52,72396540,309.57,311.89,309.07,1.0070047995849,0.700479958490074,0.021145055740085
07/02/2020,312.23,69344220,314.24,315.7,311.51,1.00550689166559,0.550689166559337,0.0158776639010927
07/06/2020,317.05,61713830,316.37,317.68,315.56,1.01543733785991,1.54373378599109,0.0566572237960361
07/07/2020,313.78,82909960,315.38,317.52,313.37,0.989686169373916,-1.03138306260844,0.0306115745910769
07/08/2020,316.18,54638600,314.61,316.3,312.7,1.00764867104341,0.764867104340627,0.0253599688675565
07/09/2020,314.38,83354160,316.84,317.1,310.68,0.994307040293504,-0.56929597064963,0.0124307613036199
07/10/2020,317.59,57550370,314.31,317.88,312.76,1.01021057319168,1.02105731916788,0.0171668321429759
07/13/2020,314.84,102997500,320.13,322.71,314.13,0.991341037186309,-0.865896281369061,-0.00697050938337307
07/14/2020,318.92,93656950,313.3,319.76,312,1.01295896328294,1.29589632829374,0.0163809038179694
07/15/2020,321.85,87196520,322.41,323.04,319.265,1.00918725699235,0.918725699234924,0.0179328230754676
07/16/2020,320.79,54622520,319.79,321.28,319.09,0.996706540313811,-0.329345968618922,0.0203893377441358
07/17/2020,321.72,62774910,321.88,322.57,319.735,1.00289909286449,0.289909286449075,0.0130041877892908
07/20/2020,324.32,56308850,321.43,325.13,320.62,1.00808156160637,0.808156160636564,0.0301105323338913
07/21/2020,325.01,57498970,326.45,326.93,323.94,1.00212752836704,0.2127528367045,0.0190956979806847
07/22/2020,326.86,57792920,324.62,327.2,324.5,1.00569213254977,0.569213254976786,0.015566257573405
07/23/2020,322.96,75737990,326.47,327.23,321.48,0.98806828611638,-1.193171388362,0.00676455001714604
07/24/2020,320.88,73766600,320.95,321.99,319.246,0.993559573941045,-0.644042605895467,-0.00261096605743982
07/27/2020,323.22,48292970,321.63,323.41,320.775,1.00729244577412,0.729244577412125,-0.00339171188949572
07/28/2020,321.17,57494980,322.43,323.64,320.85,0.993657570694883,-0.63424293051173,-0.0118150210762736
07/29/2020,325.12,48454160,322.12,325.73,322.075,1.01229878257621,1.22987825762058,-0.00532338004038158
07/30/2020,323.96,61861710,321.9,324.41,319.64,0.996432086614173,-0.356791338582685,0.0030963586821926
07/31/2020,326.52,85210760,325.9,326.63,321.33,1.0079022101494,0.790221014940107,0.0175766641735247
08/03/2020,328.79,53077950,328.32,329.62,327.73,1.00695210094328,0.695210094328069,0.017232844502199
08/04/2020,330.06,41917890,327.86,330.06,327.86,1.00386264789075,0.386264789075086,0.0276800448360695
08/05/2020,332.11,42866350,331.47,332.39,331.18,1.00621099194086,0.621099194085928,0.0214997539370057
08/06/2020,334.33,43679450,331.48,334.46,331.13,1.0066845322333,0.668453223329601,0.0320101247067555
08/07/2020,334.57,57308270,333.28,334.88,332.3,1.00071785361768,0.0717853617683062,0.0246539262526029
08/10/2020,335.57,44282090,335.06,335.77,332.955,1.00298891113967,0.298891113967192,0.0206210651175507
08/11/2020,332.8,69601090,336.85,337.54,332.01,0.991745388443544,-0.825461155645613,0.00830152093558723
08/12/2020,337.44,53826130,335.44,338.28,332.8377,1.01394230769231,1.39423076923078,0.0160488994610233
08/13/2020,336.83,41816150,336.61,338.2514,335.83,0.998192271218587,-0.1807728781413,0.0074776418508633
08/14/2020,336.84,47260390,336.41,337.42,335.62,1.00002968856693,0.00296885669328617,0.00678482828705285
08/17/2020,337.91,35480970,337.94,338.34,336.8517,1.00317658235364,0.317658235363982,0.00697320976249349
08/18/2020,338.64,38733910,338.34,339.1,336.61,1.00216033855169,0.216033855168529,0.0175480769230814
08/19/2020,337.23,68054240,339.05,339.61,336.62,0.995836286321758,-0.416371367824231,-0.00062233285917257
08/20/2020,338.28,42207830,335.36,338.8,335.22,1.00311360199271,0.311360199270516,0.00430484220527383
08/21/2020,339.48,55106630,337.92,339.72,337.55,1.00354735721887,0.3547357218872,0.00783754898468936
08/24/2020,342.92,48588660,342.12,343,339.4504,1.01013314480971,1.01331448097091,0.0148264330739043
08/25/2020,344.12,38463380,343.53,344.21,342.27,1.00349935845095,0.349935845095062,0.0161823765650875
08/26/2020,347.57,50790240,344.76,347.86,344.17,1.01002557247472,1.0025572474718,0.0306615662900742
08/27/2020,348.33,58034140,348.51,349.9,346.53,1.00218660989153,0.218660989153263,0.0297091167080499
08/28/2020,350.58,48588940,349.44,350.72,348.15,1.0064593919559,0.645939195590395,0.0326970661010912
08/31/2020,349.31,66099180,350.35,351.3,349.06,0.996377431684637,-0.362256831536301,0.0186340837513068
09/01/2020,352.6,54999330,350.21,352.71,349.24,1.00941856803412,0.941856803412455,0.024642566546544
09/02/2020,357.7,69540040,354.67,358.75,353.43,1.01446398184912,1.44639818491208,0.0291452081594952
09/03/2020,345.39,148011100,355.87,356.38,342.59,0.965585686329326,-3.44143136706737,-0.00844027215572407
09/04/2020,342.57,139156300,346.13,347.83,334.87,0.991835316598628,-0.816468340137233,-0.0228478521307597
09/08/2020,333.21,114465300,336.71,342.64,332.88,0.972677117085559,-2.73228829144408,-0.0460908648478482
09/09/2020,339.79,91462290,337.55,342.46,336.61,1.01974730650341,1.97473065034064,-0.0363301191151421
09/10/2020,333.89,90569550,341.82,342.53,332.85,0.982636334206421,-1.73636657935785,-0.0665641599105368
09/11/2020,334.06,84680190,335.82,336.97,331,1.00050914971997,0.0509149719967628,-0.0328034974955792
09/14/2020,338.46,65605690,337.49,340.38,334.2208,1.01317128659522,1.31712865952223,-0.0119975479464022
